ExpositionPeriodId;ExpositionId;PeriodStart;PeriodEnd;RemainingTIckets
2B31C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-29 14:30:00.0000000;2020-06-29 15:30:00.0000000;4
84ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-29 15:30:00.0000000;2020-06-29 16:30:00.0000000;4
152CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-30 10:30:00.0000000;2020-06-30 11:30:00.0000000;4
48D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-30 12:30:00.0000000;2020-06-30 13:30:00.0000000;4
2D31C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-30 14:30:00.0000000;2020-06-30 15:30:00.0000000;4
86ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-06-30 15:30:00.0000000;2020-06-30 16:30:00.0000000;4
172CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-01 10:30:00.0000000;2020-07-01 11:30:00.0000000;4
4AD1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-01 12:30:00.0000000;2020-07-01 13:30:00.0000000;1
2F31C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-01 14:30:00.0000000;2020-07-01 15:30:00.0000000;4
88ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-01 15:30:00.0000000;2020-07-01 16:30:00.0000000;4
192CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-02 10:30:00.0000000;2020-07-02 11:30:00.0000000;4
4DD1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-02 12:30:00.0000000;2020-07-02 13:30:00.0000000;4
3131C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-02 14:30:00.0000000;2020-07-02 15:30:00.0000000;4
8AECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-02 15:30:00.0000000;2020-07-02 16:30:00.0000000;4
1B2CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-03 10:30:00.0000000;2020-07-03 11:30:00.0000000;4
4FD1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-03 12:30:00.0000000;2020-07-03 13:30:00.0000000;3
3331C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-03 14:30:00.0000000;2020-07-03 15:30:00.0000000;4
8CECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-03 15:30:00.0000000;2020-07-03 16:30:00.0000000;4
1D2CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-04 10:30:00.0000000;2020-07-04 11:30:00.0000000;1
51D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-04 12:30:00.0000000;2020-07-04 13:30:00.0000000;4
3531C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-04 14:30:00.0000000;2020-07-04 15:30:00.0000000;4
8EECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-04 15:30:00.0000000;2020-07-04 16:30:00.0000000;4
1F2CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-05 10:30:00.0000000;2020-07-05 11:30:00.0000000;4
53D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-05 12:30:00.0000000;2020-07-05 13:30:00.0000000;4
3731C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-05 14:30:00.0000000;2020-07-05 15:30:00.0000000;4
